=== phase: unique ===
rows 40,000,000
unique positions 31,362,459  (78.4% of rows)
=== phase: label ===
chunks 15,682  remaining 15,682  workers 16  depth=8 (ceiling 150000 nodes)  multipv=4  sort_lines=True
  RATE after 100,000: 681 pos/sec aggregate on 16 cores
  30,500,000/31,362,459  901/s  eta 0.3h
  30,600,000/31,362,459  901/s  eta 0.2h
  30,700,000/31,362,459  901/s  eta 0.2h
  30,800,000/31,362,459  901/s  eta 0.2h
  30,900,000/31,362,459  901/s  eta 0.1h
  31,000,000/31,362,459  901/s  eta 0.1h
  31,100,000/31,362,459  901/s  eta 0.1h
  31,200,000/31,362,459  901/s  eta 0.1h
  31,300,000/31,362,459  901/s  eta 0.0h
labelled 31,362,459 in 579.7 min
=== phase: join ===
{
  "rows": 40000000,
  "unique": 31362459,
  "rows_labelled": 40000000,
  "coverage_pct": 100.0,
  "unique_labelled": 31362459,
  "unique_coverage_pct": 100.0
}
